longitude_deg,latitude_deg,date_utc,integration_s,frequency_hz,amplitude,vlsr_kms
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420346289.0625,-14.043479675932993,41.3009238
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420351171.875,-18.868573974312405,40.2703518
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420356054.6875,-22.098965204448337,39.239779799999994
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420360937.5,-12.267802066474363,38.2092079
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420365820.3125,-12.08836226086339,37.1786359
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420370703.125,-11.816143039663498,36.148063900000004
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420375585.9375,-10.57086504740204,35.1174919
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420380468.75,-10.637905353368827,34.08692
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420385351.5625,-16.54294379960268,33.056348
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420390234.375,-11.219923885219927,32.025776
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420395117.1875,-8.36270588536379,30.995204
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420400000.0,-10.841195983264162,29.9646321
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420404882.8125,-13.544547509004172,28.9340601
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420409765.625,-11.995492102261355,27.903488099999997
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420414648.4375,-13.325798651086403,26.872916099999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420419531.25,-13.60399493910702,25.8423442
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420424414.0625,-12.41708625167471,24.8117722
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420429296.875,-12.548202297949883,23.7812002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420434179.6875,-10.6624128489021,22.750628199999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420439062.5,-9.767845106447238,21.7200563
